name,company,year,Price,kms_driven,fuel_type,Age,Annual_Km_Driven
Ford Figo,Ford,2012,175000.0,41000.0,Diesel,8,5125.0
Hyundai Eon,Hyundai,2013,190000.0,25000.0,Petrol,7,3571.4285714285716
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000.0,Diesel,3,43333.333333333336
Ford EcoSport Ambiente 1.5L TDCi,Ford,2016,830000.0,24530.0,Diesel,4,6132.5
Tata Indigo eCS LS CR4 BS IV,Tata,2017,200000.0,130000.0,Diesel,3,43333.333333333336
Mahindra Scorpio SLE BS IV,Mahindra,2012,570000.0,19000.0,Diesel,8,2375.0
Volkswagen Polo Highline Exquisite P,Volkswagen,2014,315000.0,60000.0,Petrol,6,10000.0
Skoda Fabia Classic 1.2 MPI,Skoda,2010,182000.0,60000.0,Petrol,10,6000.0
Maruti Suzuki Stingray VXi,Maruti,2015,315000.0,30000.0,Petrol,5,6000.0
Chevrolet Spark LS 1.0,Chevrolet,2010,110000.0,41000.0,Petrol,10,5134.568258503351
Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel,8,4375.0
Honda City,Honda,2015,448999.0,54000.0,Petrol,5,10800.0
Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol,7,1857.142857142857
Datsun Redi GO S,Datsun,2017,235000.0,16000.0,Petrol,3,5333.333333333333
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel,9,4244.444444444444
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol,5,4400.0
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol,5,4400.0
Renault Duster,Renault,2014,449999.0,50000.0,Diesel,6,8333.333333333334
Mini Cooper S 1.6,Mini,2013,1891111.0,13500.0,Petrol,7,1928.5714285714287
Mahindra Scorpio S4,Mahindra,2015,865000.0,30000.0,Diesel,5,6000.0
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel,6,8333.333333333334
Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel,7,2857.1428571428573
Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol,3,13000.0
Honda Brio,Honda,2012,224999.0,30000.0,Petrol,8,3750.0
Volkswagen Vento Highline Plus 1.5 Diesel AT,Volkswagen,2019,1200000.0,3600.0,Diesel,1,3600.0
Hyundai i20 Magna,Hyundai,2009,195000.0,32000.0,Petrol,11,5134.568258503351
Toyota Corolla Altis Diesel D4DG,Toyota,2010,351000.0,38000.0,Diesel,10,3800.0
Hyundai Verna Transform SX VTVT,Hyundai,2008,160000.0,45000.0,Petrol,12,3750.0
Toyota Corolla Altis Petrol Ltd,Toyota,2009,240000.0,35000.0,Petrol,11,3181.818181818182
Honda City 1.5 EXi New,Honda,2005,90000.0,50000.0,Petrol,15,3333.3333333333335
Hyundai Elite i20 Magna 1.2,Hyundai,2014,415000.0,32000.0,Petrol,6,5333.333333333333
Skoda Fabia 1.2L Diesel Elegance,Skoda,2011,155000.0,45863.0,Diesel,9,5095.888888888889
BMW 3 Series 320i,BMW,2011,600000.0,60500.0,Petrol,9,6722.222222222223
Maruti Suzuki A Star Lxi,Maruti,2011,189500.0,12500.0,Petrol,9,1388.888888888889
Toyota Etios GD,Toyota,2013,350000.0,60000.0,Diesel,7,8571.42857142857
Ford Figo Diesel EXI Option,Ford,2012,210000.0,35000.0,Diesel,8,4375.0
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2014,390000.0,35000.0,Petrol,6,5833.333333333333
Chevrolet Beat LT Diesel,Chevrolet,2012,135000.0,45000.0,Diesel,8,5625.0
BMW 7 Series 740Li Sedan,BMW,2009,1600000.0,35000.0,Petrol,11,3181.818181818182
Mahindra XUV500 W8 AWD 2013,Mahindra,2013,701000.0,38000.0,Diesel,7,5428.571428571428
Hyundai i10 Magna 1.2,Hyundai,2014,265000.0,18000.0,Petrol,6,3000.0
Hyundai Verna Fluidic New,Hyundai,2015,525000.0,35000.0,Diesel,5,7000.0
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349.0,Petrol,7,1907.0
Maruti Suzuki Ertiga ZXI Plus,Maruti,2016,635000.0,29000.0,Petrol,4,7250.0
Ford EcoSport Titanium 1.5L TDCi,Ford,2014,550000.0,44000.0,Diesel,6,7333.333333333333
Maruti Suzuki Ertiga Vxi,Maruti,2016,575000.0,29000.0,Petrol,4,7250.0
Maruti Suzuki Ertiga VDi,Maruti,2013,485000.0,42000.0,Diesel,7,6000.0
Maruti Suzuki Alto LXi BS III,Maruti,2012,155000.0,14000.0,Petrol,8,1750.0
Hyundai Grand i10 Asta 1.1 CRDi,Hyundai,2014,345000.0,49000.0,Diesel,6,8166.666666666667
Honda Amaze 1.2 S i VTEC,Honda,2014,325000.0,42000.0,Petrol,6,7000.0
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel,8,4525.0
Ford Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel,6,8333.333333333334
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000.0,Petrol,5,11000.0
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000.0,Petrol,6,7500.0
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000.0,Petrol,13,3923.076923076923
Maruti Suzuki Ritz VXI,Maruti,2014,299999.0,19000.0,Petrol,6,3166.6666666666665
Maruti Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol,11,4181.818181818182
Maruti Suzuki Ritz LDi,Maruti,2013,399999.0,33000.0,Diesel,7,4714.285714285715
Maruti Suzuki Swift VXi 1.2 BS IV,Maruti,2013,372000.0,13349.0,Petrol,7,1907.0
Maruti Suzuki Dzire VDI,Maruti,2015,450000.0,104000.0,Diesel,5,20800.0
Toyota Etios Liva G,Toyota,2014,270000.0,55000.0,Petrol,6,9166.666666666666
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2011,350000.0,33333.0,Diesel,9,3703.6666666666665
Chevrolet Spark,Chevrolet,2012,158400.0,33600.0,Petrol,8,4200.0
Maruti Suzuki Alto K10 VXi AMT,Maruti,2017,350000.0,5600.0,Petrol,3,1866.6666666666667
Nissan Micra XV,Nissan,2011,179000.0,41000.0,Petrol,9,4555.555555555556
Maruti Suzuki Swift,Maruti,2007,125000.0,70000.0,Petrol,13,5384.615384615385
Maruti Suzuki Alto 800,Maruti,2018,200000.0,7500.0,Petrol,2,3750.0
Honda Amaze 1.5 S i DTEC,Honda,2013,299000.0,45000.0,Diesel,7,6428.571428571428
Maruti Suzuki Alto 800 Vxi,Maruti,2015,220000.0,38000.0,Petrol,5,7600.0
Chevrolet Beat,Chevrolet,2015,150000.0,30000.0,Petrol,5,6000.0
Honda City 1.5 V MT,Honda,2010,285000.0,35000.0,Petrol,10,3500.0
Ford EcoSport Trend 1.5L TDCi,Ford,2016,830000.0,24330.0,Diesel,4,6082.5
Hyundai i20 Asta 1.2,Hyundai,2009,210000.0,65480.0,Petrol,11,5952.727272727273
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2013,340000.0,41000.0,Petrol,7,5857.142857142857
Tata Indica V2 eLS,Tata,2006,90000.0,20000.0,Petrol,14,1428.5714285714287
Hindustan Motors Ambassador,Hindustan,2000,70000.0,200000.0,Diesel,20,10000.0
Toyota Corolla Altis 1.8 GL,Toyota,2010,289999.0,70000.0,Petrol,10,7000.0
Toyota Corolla Altis 1.8 J,Toyota,2012,349999.0,59000.0,Petrol,8,7375.0
Toyota Innova 2.5 GX BS IV 7 STR,Toyota,2012,849999.0,99000.0,Diesel,8,12375.0
Volkswagen Jetta Highline TDI AT,Volkswagen,2014,749999.0,46000.0,Diesel,6,7666.666666666667
Volkswagen Polo Comfortline 1.2L P,Volkswagen,2015,399999.0,2800.0,Petrol,5,560.0
Volkswagen Polo,Volkswagen,2014,274999.0,32000.0,Petrol,6,5333.333333333333
Mahindra Scorpio,Mahindra,2015,984999.0,22000.0,Diesel,5,4400.0
Renault Duster,Renault,2014,449999.0,50000.0,Diesel,6,8333.333333333334
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol,5,4400.0
Nissan Sunny,Nissan,2012,224999.0,45000.0,Petrol,8,5625.0
Hyundai Elite i20,Hyundai,2018,599999.0,21000.0,Petrol,2,10500.0
Renault Kwid,Renault,2016,244999.0,11000.0,Petrol,4,2750.0
Renault Duster,Renault,2013,399999.0,41000.0,Diesel,7,5857.142857142857
Ford EcoSport,Ford,2017,489999.0,39000.0,Petrol,3,13000.0
Renault Duster,Renault,2014,474999.0,50000.0,Diesel,6,8333.333333333334
Mahindra Scorpio VLX Airbag,Mahindra,2011,499999.0,66000.0,Diesel,9,7333.333333333333
Maruti Suzuki Alto 800 Lxi,Maruti,2018,310000.0,3000.0,Petrol,2,1500.0
Chevrolet Spark LT 1.0,Chevrolet,2010,85000.0,45000.0,Petrol,10,4500.0
Datsun Redi GO T O,Datsun,2016,245000.0,7000.0,Petrol,4,1750.0
Maruti Suzuki Swift RS VDI,Maruti,2010,189500.0,38500.0,Diesel,10,3850.0
Fiat Punto Emotion 1.2,Fiat,2012,169500.0,37200.0,Diesel,8,4650.0
Maruti Suzuki Swift RS VDI,Maruti,2010,159500.0,43200.0,Diesel,10,4320.0
Toyota Etios GD,Toyota,2013,275000.0,24800.0,Petrol,7,3542.8571428571427
Hyundai i20 Sportz 1.4 CRDI,Hyundai,2014,370000.0,60000.0,Diesel,6,10000.0
Hyundai i10 Sportz 1.2,Hyundai,2010,168000.0,45872.0,Petrol,10,4587.2
Chevrolet Beat LT Opt Diesel,Chevrolet,2011,150000.0,40000.0,Diesel,9,4444.444444444444
Chevrolet Beat LS Diesel,Chevrolet,2011,145000.0,45000.0,Diesel,9,5000.0
Chevrolet Beat LT Diesel,Chevrolet,2012,98500.0,38000.0,Diesel,8,4750.0
Mahindra Scorpio VLX 2WD BS IV,Mahindra,2014,699000.0,50000.0,Diesel,6,8333.333333333334
Tata Indigo CS,Tata,2011,85000.0,11400.0,Diesel,9,1266.6666666666667
Toyota Corolla Altis 1.8 J,Toyota,2015,575000.0,42000.0,Petrol,5,8400.0
Honda City 1.5 V MT,Honda,2014,549000.0,39000.0,Petrol,6,6500.0
Maruti Suzuki Swift VDi,Maruti,2011,209000.0,47000.0,Diesel,9,5222.222222222223
Hyundai Eon Era Plus,Hyundai,2013,185000.0,27000.0,Petrol,7,3857.1428571428573
Mahindra Scorpio S10,Mahindra,2015,900000.0,97200.0,Diesel,5,19440.0
Mahindra XUV500,Mahindra,2014,699999.0,52000.0,Diesel,6,8666.666666666666
Honda Brio,Honda,2012,224999.0,30000.0,Petrol,8,3750.0
Ford Fiesta,Ford,2011,274999.0,55000.0,Diesel,9,6111.111111111111
Honda Amaze,Honda,2013,284999.0,46000.0,Diesel,7,6571.428571428572
Honda City,Honda,2015,599999.0,30000.0,Diesel,5,6000.0
Maruti Suzuki Wagon R,Maruti,2012,199999.0,44000.0,Petrol,8,5500.0
Honda City,Honda,2014,544999.0,45000.0,Diesel,6,7500.0
Hyundai i20,Hyundai,2009,199000.0,31000.0,Petrol,11,2818.181818181818
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel,4,43857.5
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel,5,7600.0
Mahindra Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel,7,5285.714285714285
Fiat Petra ELX 1.2 PS,Fiat,2008,75000.0,65000.0,Petrol,12,5416.666666666667
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel,9,4244.444444444444
Mini Cooper S 1.6,Mini,2013,1891111.0,46822.0,Petrol,7,5134.568258503351
Hyundai Santro Xing XS,Hyundai,2005,49000.0,7500.0,Petrol,15,500.0
Maruti Suzuki Ciaz VXi Plus,Maruti,2016,700000.0,3350.0,Petrol,4,837.5
Maruti Suzuki Zen VX,Maruti,2000,55000.0,60000.0,Petrol,20,3000.0
Honda City,Honda,2015,448999.0,54000.0,Petrol,5,10800.0
Hyundai Creta 1.6 SX Plus Petrol,Hyundai,2017,895000.0,32000.0,Petrol,3,10666.666666666666
Mahindra Scorpio SLX,Mahindra,2007,355000.0,75000.0,Diesel,13,5769.2307692307695
Mahindra Scorpio SLE BS IV,Mahindra,2012,565000.0,62000.0,Diesel,8,7750.0
Toyota Innova 2.5 G BS III 8 STR,Toyota,2006,365000.0,73000.0,Diesel,14,5214.285714285715
Maruti Suzuki Alto K10 VXi AMT,Maruti,2011,145000.0,41000.0,Petrol,9,4555.555555555556
Maruti Suzuki Wagon R LXI BS IV,Maruti,2011,210000.0,46822.0,Petrol,9,5134.568258503351
Tata Nano Cx BSIV,Tata,2013,40000.0,2200.0,Petrol,7,314.2857142857143
Maruti Suzuki Alto Std BS IV,Maruti,2013,125000.0,39000.0,Petrol,7,5571.428571428572
Maruti Suzuki Wagon R LXi BS III,Maruti,2009,135000.0,45000.0,Petrol,11,4090.909090909091
Maruti Suzuki Swift VXI BSIII,Maruti,2006,135000.0,45000.0,Petrol,14,3214.285714285714
Tata Sumo Victa EX 10 by 7 Str BSIII,Tata,2012,285000.0,65000.0,Diesel,8,8125.0
Maruti Suzuki Wagon R LXi BS III,Maruti,2010,145000.0,54870.0,Petrol,10,5487.0
Maruti Suzuki Alto LXi BS III,Maruti,2010,135000.0,34580.0,Petrol,10,3458.0
Volkswagen Passat Diesel Comfortline AT,Volkswagen,2009,450000.0,97000.0,Diesel,11,8818.181818181818
Renault Scala RxL Diesel Travelogue,Renault,2015,375000.0,25000.0,Diesel,5,5000.0
Mahindra Quanto C8,Mahindra,2013,375000.0,20000.0,Diesel,7,2857.1428571428573
Hyundai Grand i10 Sportz O 1.2 Kappa VTVT,Hyundai,2014,365000.0,46822.0,Petrol,6,5134.568258503351
Hyundai i20 Active 1.2 SX,Hyundai,2015,500000.0,18000.0,Petrol,5,3600.0
Mahindra Xylo E4,Mahindra,2012,400000.0,35000.0,Diesel,8,4375.0
Mahindra Jeep MM 550 XDB,Mahindra,2019,390000.0,9833.688495830653,Diesel,1,9833.688495830653
Renault Duster 110PS Diesel RxZ,Renault,2012,501000.0,35000.0,Diesel,8,4375.0
Mahindra Bolero SLE BS IV,Mahindra,2013,330000.0,80200.0,Diesel,7,11457.142857142857
Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel,5,640.0
Maruti Suzuki SX4,Maruti,2012,265000.0,46000.0,Diesel,8,5750.0
Mahindra Jeep CL550 MDI,Mahindra,2019,379000.0,9833.688495830653,Diesel,1,9833.688495830653
Maruti Suzuki Alto 800,Maruti,2015,219000.0,5000.0,Petrol,5,5134.568258503351
Mahindra Jeep CL550 MDI,Mahindra,2018,385000.0,588.0,Diesel,2,294.0
Toyota Etios,Toyota,2011,275000.0,36000.0,Diesel,9,4000.0
Volkswagen Polo,Volkswagen,2015,330000.0,38000.0,Diesel,5,7600.0
Honda City ZX VTEC,Honda,2008,110000.0,45000.0,Petrol,12,3750.0
Maruti Suzuki Wagon R LX BS III,Maruti,2006,80000.0,71200.0,Petrol,14,5134.568258503351
Honda City VX O MT Diesel,Honda,2016,519000.0,52000.0,Diesel,4,13000.0
Mahindra Thar CRDe 4x4 AC,Mahindra,2016,730000.0,29000.0,Diesel,4,7250.0
Mitsubishi Pajero Sport Limited Edition,Mitsubishi,2015,1475000.0,47000.0,Diesel,5,9400.0
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol,11,4272.727272727273
Mercedes Benz GLA Class 200 CDI Sport,Mercedes,2015,2000000.0,20000.0,Diesel,5,4000.0
Land Rover Freelander 2 SE,Land,2015,2100000.0,30000.0,Diesel,5,6000.0
Renault Kwid RXT,Renault,2017,340000.0,5000.0,Petrol,3,1666.6666666666667
Tata Aria Pleasure 4X2,Tata,2014,390000.0,35000.0,Diesel,6,5833.333333333333
Mercedes Benz B Class B180 Sports,Mercedes,2014,1400000.0,31000.0,Petrol,6,5166.666666666667
Datsun GO T O,Datsun,2016,245000.0,7000.0,Petrol,4,1750.0
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel,4,43857.5
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175400.0,Diesel,4,43850.0
Honda Jazz VX MT,Honda,2016,450000.0,41000.0,Petrol,4,10250.0
Honda Amaze 1.2 S i VTEC,Honda,2014,311000.0,33000.0,Petrol,6,5500.0
Honda Amaze,Honda,2013,284999.0,46000.0,Diesel,7,6571.428571428572
Honda City,Honda,2012,399999.0,45000.0,Petrol,8,5625.0
Honda City,Honda,2015,599999.0,39000.0,Diesel,5,7800.0
Honda Amaze,Honda,2015,344999.0,22000.0,Petrol,5,4400.0
Audi A4 1.8 TFSI Multitronic Premium Plus,Audi,2009,699000.0,47000.0,Petrol,11,4272.727272727273
Force Motors Force One LX ABS 7 STR,Force,2015,580000.0,3200.0,Diesel,5,640.0
Mahindra Scorpio S4,Mahindra,2015,855000.0,30000.0,Diesel,5,6000.0
Hyundai i20 Active 1.4L SX O,Hyundai,2015,535000.0,37000.0,Diesel,5,7400.0
Mini Cooper S,Mini,2013,1891111.0,13000.0,Petrol,7,1857.142857142857
Maruti Suzuki Ciaz ZXI Plus,Maruti,2017,699000.0,14000.0,Petrol,3,4666.666666666667
Chevrolet Tavera Neo,Chevrolet,2013,375000.0,55000.0,Diesel,7,7857.142857142857
Honda Amaze,Honda,2013,284999.0,46000.0,Diesel,7,6571.428571428572
Hyundai Eon Sportz,Hyundai,2012,178000.0,30000.0,Petrol,8,3750.0
Tata Sumo Gold Select Variant,Tata,2013,300000.0,50000.0,Diesel,7,7142.857142857143
Maruti Suzuki Wagon R 1.0,Maruti,2003,90000.0,45000.0,Petrol,17,2647.0588235294117
Maruti Suzuki Esteem VXi BS III,Maruti,2006,95000.0,45000.0,Petrol,14,3214.285714285714
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,255000.0,9300.0,Petrol,5,1860.0
Chevrolet Enjoy 1.4 LS 8 STR,Chevrolet,2013,245000.0,55000.0,Diesel,7,7857.142857142857
Hyundai i20 Asta 1.4 CRDI 6 Speed,Hyundai,2012,329500.0,36200.0,Diesel,8,4525.0
Ford Figo Diesel EXI,Ford,2014,195000.0,50000.0,Diesel,6,8333.333333333334
Maruti Suzuki Eeco 5 STR WITH AC HTR,Maruti,2015,251111.0,55000.0,Petrol,5,11000.0
Maruti Suzuki Ertiga ZXi,Maruti,2014,569999.0,45000.0,Petrol,6,7500.0
Maruti Suzuki Esteem LXi BS III,Maruti,2007,69999.0,51000.0,Petrol,13,3923.076923076923
Maruti Suzuki Ritz VXI,Maruti,2014,299999.0,19000.0,Petrol,6,3166.6666666666665
Maruti Suzuki Dzire,Maruti,2009,220000.0,46000.0,Petrol,11,4181.818181818182
Maruti Suzuki Ritz LDi,Maruti,2013,399999.0,33000.0,Diesel,7,4714.285714285715
Maruti Suzuki SX4 ZXI MT,Maruti,2010,249999.0,36000.0,Petrol,10,3600.0
Maruti Suzuki Wagon R 1.0 VXi,Maruti,2015,289999.0,22000.0,Petrol,5,4400.0
Mini Cooper S 1.6,Mini,2013,1891111.0,13500.0,Petrol,7,1928.5714285714287
Nissan Terrano XL D Plus,Nissan,2015,499999.0,60000.0,Diesel,5,12000.0
Renault Duster 85 PS RxE Diesel,Renault,2013,489999.0,27000.0,Diesel,7,3857.1428571428573
Renault Duster 85 PS RxE Diesel,Renault,2014,489999.0,59000.0,Diesel,6,9833.333333333334
Renault Duster 85 PS RxL Diesel,Renault,2015,549999.0,19000.0,Diesel,5,3800.0
Maruti Suzuki Dzire ZXI,Maruti,2013,380000.0,30000.0,Petrol,7,4285.714285714285
Renault Kwid RXT Opt,Renault,2018,325000.0,15000.0,Petrol,2,7500.0
Maruti Suzuki Maruti 800 Std,Maruti,2003,57000.0,56758.0,Petrol,17,3338.705882352941
Renault Kwid 1.0 RXT AMT,Renault,2018,349999.0,10000.0,Petrol,2,5000.0
Renault Lodgy 85 PS RXL,Renault,2018,689999.0,20000.0,Diesel,2,10000.0
Renault Scala RxL Diesel,Renault,2014,349999.0,49000.0,Diesel,6,8166.666666666667
Hyundai Grand i10 Asta 1.2 Kappa VTVT O,Hyundai,2014,410000.0,41000.0,Petrol,6,6833.333333333333
Maruti Suzuki Swift Dzire VXi 1.2 BS IV,Maruti,2011,225000.0,45000.0,Petrol,9,5000.0
Chevrolet Beat LS Petrol,Chevrolet,2010,120000.0,43000.0,Petrol,10,4300.0
Tata Indigo eCS LX TDI BS III,Tata,2016,320000.0,175430.0,Diesel,4,43857.5
Hyundai Santro Xing XO eRLX Euro III,Hyundai,2000,59000.0,56450.0,Petrol,20,2822.5
Hyundai Fluidic Verna 1.6 CRDi SX,Hyundai,2015,540000.0,38000.0,Diesel,5,7600.0
Chevrolet Beat LS Petrol,Chevrolet,2010,80000.0,56000.0,Petrol,10,5600.0
Mahindra Quanto C8,Mahindra,2013,340000.0,37000.0,Diesel,7,5285.714285714285
Fiat Petra ELX 1.2 PS,Fiat,2008,75000.0,65000.0,Petrol,12,5416.666666666667
Chevrolet Beat LS Petrol,Chevrolet,2015,220000.0,32700.0,Petrol,5,6540.0
Skoda Fabia 1.2L Diesel Ambiente,Skoda,2011,159500.0,38200.0,Diesel,9,4244.444444444444
Ford EcoSport Titanium 1.5L TDCi,Ford,2016,599000.0,30000.0,Diesel,4,7500.0
Hyundai Accent GLX,Hyundai,2006,80000.0,46822.0,Petrol,14,5134.568258503351
Mahindra TUV300 T4 Plus,Mahindra,2016,675000.0,9000.0,Diesel,4,2250.0
Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol,7,1857.142857142857
Mini Cooper S 1.6,Mini,2013,1891111.0,13000.0,Petrol,7,1857.142857142857
